Altitude (ft),Vertical velocity (m/s)
2931.457,249.711
2971.601,248.975
3011.624,248.192
3051.509,247.361
3091.257,246.493
3130.86,245.614
3170.318,244.724
3209.633,243.823
3248.796,242.912
3287.808,241.992
3326.667,241.061
3365.377,240.12
3403.93,239.168
3442.326,238.206
3480.564,237.237
3518.645,236.266
3556.565,235.295
3594.324,234.324
3631.929,233.353
3669.37,232.381
3706.654,231.408
3743.78,230.435
3780.745,229.461
3817.552,228.487
3827.484,228.223
3842.365,227.827
3864.633,227.235
3897.923,226.352
3934.222,225.389
3970.361,224.432
4006.345,223.479
4042.175,222.531
4077.851,221.588
4113.369,220.649
4148.734,219.715
4183.944,218.787
4219.006,217.863
4253.914,216.944
4288.678,216.029
4323.287,215.118
4357.749,214.211
4392.064,213.308
4426.227,212.41
4460.243,211.516
4494.114,210.627
4527.841,209.742
4561.424,208.861
4594.862,207.984
4628.156,207.11
4661.309,206.239
4694.314,205.373
4727.178,204.511
4759.902,203.654
4792.484,202.8
4824.931,201.951
4857.238,201.104
4889.406,200.261
4921.434,199.42
4953.323,198.583
4985.075,197.75
5016.69,196.922
5048.169,196.097
5079.511,195.276
5110.725,194.459
5141.801,193.645
5172.746,192.833
5203.556,192.025
5234.236,191.219
5264.777,190.417
5295.187,189.619
5325.469,188.824
5355.617,188.033
5385.64,187.244
5415.531,186.459
5445.299,185.676
5474.934,184.895
5504.439,184.117
5533.816,183.342
5563.064,182.571
5592.185,181.802
5621.181,181.038
5650.052,180.275
5678.796,179.516
5707.421,178.759
5735.919,178.005
5764.291,177.253
5792.539,176.503
5820.663,175.756
5848.665,175.012
5876.542,174.271
5904.298,173.533
5931.932,172.797
5959.449,172.064
5986.841,171.334
6014.114,170.606
6041.27,169.88
6068.301,169.157
6095.213,168.437
6122.008,167.719
6148.681,167.004
6175.24,166.291
6201.68,165.581
6228.005,164.873
6254.213,164.167
6280.305,163.464
6306.28,162.762
6332.139,162.062
6357.881,161.365
6383.507,160.669
6409.019,159.977
6434.416,159.286
6459.698,158.598
6484.869,157.912
6509.925,157.228
6534.865,156.546
6559.695,155.867
6584.413,155.189
6609.019,154.514
6633.514,153.84
6657.897,153.168
6682.165,152.498
6706.325,151.831
6730.374,151.165
6754.311,150.501
6778.136,149.84
6801.854,149.181
6825.463,148.523
6848.963,147.867
6872.356,147.214
6895.64,146.561
6918.816,145.911
6941.883,145.262
6964.843,144.614
6987.694,143.969
7010.436,143.325
7033.071,142.684
7055.597,142.044
7078.022,141.407
7100.338,140.771
7122.549,140.137
7144.652,139.505
7166.654,138.874
7188.553,138.245
7210.344,137.618
7232.031,136.991
7253.612,136.367
7275.089,135.744
7296.46,135.123
7317.73,134.504
7338.894,133.887
7359.954,133.272
7380.915,132.658
7401.772,132.046
7422.53,131.435
7443.182,130.826
7463.737,130.218
7484.19,129.611
7504.541,129.006
7524.787,128.402
7544.934,127.799
7564.977,127.198
7584.918,126.599
7604.76,126.002
7624.501,125.406
7644.144,124.812
7663.684,124.22
7683.13,123.628
7702.477,123.039
7721.726,122.45
7740.873,121.863
7759.925,121.277
7778.875,120.692
7797.73,120.108
7816.483,119.526
7835.135,118.945
7853.691,118.366
7872.149,117.788
7890.512,117.212
7908.773,116.637
7926.942,116.063
7945.013,115.491
7962.989,114.919
7980.869,114.35
7998.652,113.781
8016.339,113.213
8033.934,112.647
8051.427,112.081
8068.825,111.517
8086.129,110.953
8103.337,110.391
8120.449,109.83
8137.464,109.271
8154.383,108.713
8171.207,108.157
8187.936,107.602
8204.573,107.049
8221.115,106.497
8237.566,105.946
8253.924,105.396
8270.187,104.848
8286.358,104.3
8302.438,103.754
8318.422,103.209
8334.311,102.664
8350.112,102.121
8365.814,101.58
8381.427,101.039
8396.946,100.499
8412.372,99.961
8427.707,99.424
8442.946,98.888
8458.094,98.354
8473.153,97.821
8488.117,97.289
8502.992,96.758
8517.776,96.229
8532.467,95.7
8547.07,95.173
8561.585,94.647
8576.007,94.122
8590.338,93.598
8604.58,93.075
8618.73,92.553
8632.792,92.032
8646.762,91.513
8660.643,90.994
8674.432,90.476
8688.133,89.96
8701.742,89.444
8715.262,88.93
8728.691,88.417
8742.031,87.905
8755.282,87.394
8768.445,86.884
8781.519,86.376
8794.505,85.868
8807.402,85.362
8820.21,84.857
8832.93,84.352
8845.564,83.849
8858.107,83.347
8870.564,82.846
8882.933,82.346
8895.213,81.847
8907.405,81.349
8919.508,80.852
8931.522,80.357
8943.451,79.862
8955.292,79.369
8967.044,78.876
8978.707,78.385
8990.285,77.895
9001.775,77.407
9013.179,76.919
9024.495,76.433
9035.722,75.948
9046.867,75.464
9057.923,74.982
9068.891,74.5
9079.777,74.02
9090.574,73.541
9101.286,73.063
9111.909,72.587
9122.451,72.111
9132.904,71.637
9143.271,71.164
9153.556,70.692
9163.753,70.222
9173.865,69.752
9183.891,69.284
9193.832,68.817
9203.688,68.351
9213.458,67.887
9223.143,67.424
9232.743,66.962
9242.254,66.501
9251.683,66.042
9261.027,65.584
9270.285,65.127
9279.459,64.672
9288.547,64.219
9297.549,63.766
9306.47,63.316
9315.302,62.866
9324.052,62.418
9332.717,61.972
9341.296,61.527
9349.793,61.084
9358.202,60.643
9366.529,60.203
9374.774,59.764
9382.933,59.328
9391.007,58.893
9398.999,58.459
9406.909,58.027
9414.734,57.597
9422.477,57.169
9430.135,56.742
9437.713,56.317
9445.207,55.894
9452.618,55.472
9459.948,55.052
9467.192,54.634
9474.354,54.218
9481.434,53.804
9488.432,53.391
9495.344,52.981
9502.175,52.573
9508.921,52.166
9515.587,51.762
9522.169,51.359
9528.668,50.959
9535.082,50.561
9541.414,50.165
9547.664,49.772
9553.832,49.38
9559.918,48.991
9565.922,48.605
9571.841,48.221
9577.677,47.839
9583.435,47.46
9589.108,47.083
9594.698,46.709
9600.207,46.338
9605.633,45.97
9610.974,45.604
9616.237,45.241
9621.417,44.881
9626.516,44.524
9631.529,44.171
9636.463,43.82
9641.316,43.473
9646.083,43.128
9650.771,42.788
9655.377,42.45
9659.902,42.116
9664.347,41.785
9668.707,41.458
9672.989,41.134
9677.188,40.814
9681.309,40.498
9685.344,40.186
9689.304,39.877
9693.179,39.573
9696.975,39.272
9700.692,38.976
9704.327,38.683
9707.881,38.395
9711.355,38.111
9714.751,37.832
9718.064,37.558
9721.296,37.288
9724.449,37.023
9727.52,36.762
9730.512,36.507
9733.422,36.257
9736.25,36.012
9738.999,35.772
9741.667,35.538
9744.252,35.309
9746.759,35.085
9749.183,34.868
9751.526,34.655
9753.789,34.449
9755.971,34.249
9758.074,34.055
9760.092,33.867
9762.034,33.685
9763.891,33.51
9765.669,33.34
9767.369,33.178
9768.986,33.022
9770.522,32.873
9771.978,32.73
9773.356,32.595
9774.652,32.466
9775.866,32.344
9777.001,32.23
9778.054,32.122
9779.029,32.022
9779.925,31.928
9780.738,31.843
9781.473,31.764
9782.126,31.693
9782.7,31.63
9783.196,31.574
9783.609,31.526
9783.94,31.486
9784.196,31.453
9784.37,31.427
9784.465,31.409
